Name,Lat.,Long.,Diam. (km)
Galois,14.2S,151.9W,222
Galvani,49.6N,84.6W,80
Gambart,1.0N,15.2W,25
Gamow,65.3N,145.3E,129
Ganskiy,9.7S,97.0E,43
Ganswindt,79.6S,110.3E,74
Garavito,47.5S,156.7E,74
Gardner,17.7N,33.8E,18
Gärtner,59.1N,34.6E,115
Gassendi,17.6S,40.1W,101
Gaston,30.9N,34.0W,2
Gaudibert,10.9S,37.8E,34
Gauricus,33.8S,12.6W,79
Gauss,35.7N,79.0E,177
Gavrilov,17.4N,130.9E,60
Gay-Lussac,13.9N,20.8W,26
Geber,19.4S,13.9E,44
Geiger,14.6S,158.5E,34
Geissler,2.6S,76.5E,16
Geminus,34.5N,56.7E,85
Gemma Frisius,34.2S,13.3E,87
Gerard,44.5N,80.0W,90
Gerasimovich,22.9S,122.6W,86
Gernsback,36.5S,99.7E,48
Gibbs,18.4S,84.3E,76
Gilbert,3.2S,76.0E,112
Gill,63.9S,75.9E,66
Ginzel,14.3N,97.4E,55
Gioja,83.3N,2.0E,41
Giordano Bruno,35.9N,102.8E,22
Glaisher,13.2N,49.5E,15
Glauber,11.5N,142.6E,15
Glazenap,1.6S,137.6E,43
Glushko,8.4N,77.6W,43
Goclenius,10.0S,45.0E,72
Goddard,14.8N,89.0E,89
Godin,1.8N,10.2E,34
Goldschmidt,73.2N,3.8W,113
Golgi,27.8N,60.0W,5
Golitsyn,25.1S,105.0W,36
Golovin,39.9N,161.1E,37
Goodacre,32.7S,14.1E,46
Gould,19.2S,17.2W,34
Grace,14.2N,35.9E,1
Grachev,3.7S,108.2W,35
Graff,42.4S,88.6W,36
Grave,17.1S,150.3E,40
Greaves,13.2N,52.7E,13
Green,4.1N,132.9E,65
Gregory,2.2N,127.2E,67
Grigg,12.9N,129.4W,36
Grimaldi,5.5S,68.3W,172
Grissom,47.0S,147.4W,58
Grotrian,66.5S,128.3E,37
Grove,40.3N,32.9E,28
Gruemberger,66.9S,10.0W,93
Gruithuisen,32.9N,39.7W,15
Guericke,11.5S,14.1W,63
Guillaume,45.4N,173.4W,57
Gullstrand,45.2N,129.3W,43
Gum,40.4S,88.6E,54
Gutenberg,8.6S,41.2E,74
Guthnick,47.7S,93.9W,36
Guyot,11.4N,117.5E,92
Gyldén,5.3S,0.3E,47
,,,
H. G. Wells,40.7N,122.8E,114
Hagecius,59.8S,46.6E,76
Hagen,48.3S,135.1E,55
Hahn,31.3N,73.6E,84
Haidinger,39.2S,25.0W,22
Hainzel,41.3S,33.5W,70
Haldane,1.7S,84.1E,37
Hale,74.2S,90.8E,83
Hall,33.7N,37.0E,35
Halley,8.0S,5.7E,36
Hamilton,42.8S,84.7E,57
Hanno,56.3S,71.2E,56
Hansen,14.0N,72.5E,39
Hansteen,11.5S,52.0W,44
Harden,5.5N,143.5E,15
Harding,43.5N,71.7W,22
