Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Spalte1,Spalte2,Spalte3
# PhotoID, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33, X, Y, GroundHeight,Capture Time,0.00,Interval, X, Y,Hor. Distance,Distance Sum,hor. Speed,vert Speed,relative altitude
HNM_0133_0678747648_919ECM_N0090001HELI01703_0000LUJ01,77.4501150392098,18.4362360870806,-2562.57,9.97727110528781,-1.20682101240633,57.4868715608834,0.537373619372033,0.82855385293054,0.15725172812074,-0.843081258736243,0.532441234540218,0.0756328164820004,-0.02106144275004,-0.173219065218716,0.984658098567234,767.800676068167,-1115.87131278176,-2573.01,45225.59459,39.22,0.87,767.80,-1115.87,4.34,72.56,4.96,-0.48,10.43
HNM_0133_0678747649_813ECM_N0090001HELI01730_0000LUJ01,77.4500723622912,18.4361694189469,-2563.12,6.96420465114475,0.540600791881117,57.5167936891432,0.537028477725532,0.837939660334053,0.0972498830387483,-0.843511347019925,0.532125040443841,0.0730174553190703,0.0094351237633659,-0.121243832716937,0.992577912038988,765.401143436326,-1119.82322677281,-2573.40,45226.46463,40.09,0.87,765.40,-1119.82,4.62,77.18,5.31,-0.63,10.28
HNM_0133_0678747650_710ECM_N0090001HELI01757_0000LUJ01,77.4500285908495,18.4361023370824,-2563.69,5.79326321171186,0.493263291678783,57.5495945503879,0.536549493393026,0.840012554895994,0.0805825586389054,-0.843824938544701,0.533095597968615,0.0613885699175127,0.0086089621743731,-0.100935578680613,0.994855715532001,762.940062974891,-1123.79966857665,-2573.66,45227.33782,40.96,0.87,762.94,-1123.80,4.68,81.86,5.36,-0.66,9.97
HNM_0133_0678747651_604ECM_N0090001HELI01784_0000LUJ01,77.4499851103818,18.4360355896282,-2564.11,4.49104296551218,2.38286783242763,57.9185227196481,0.53066543219245,0.846421260418421,0.0443311288790681,-0.846561019859037,0.526735465298635,0.0767084692316091,0.0415769014144569,-0.0782355386529798,0.996067548793982,760.495341317,-1127.75628649748,-2573.67,45228.2076,41.83,0.87,760.50,-1127.76,4.65,86.51,5.35,-0.48,9.57
HNM_0133_0678747652_502ECM_N0090001HELI01811_0000LUJ01,77.4499430226404,18.4359700293446,-2564.36,6.61818894096557,0.220601425812107,58.0576079837117,0.529062405930513,0.843160498694518,0.0957775760406831,-0.848574184441682,0.525164195386958,0.0642216582058068,0.0038502117022786,-0.115251643479735,0.993328865253128,758.128929118955,-1131.64252881759,-2573.96,45229.0812,42.71,0.87,758.13,-1131.64,4.55,91.06,5.21,-0.29,9.60
HNM_0133_0678747653_396ECM_N0090001HELI01838_0000LUJ01,77.4499009103488,18.4359032865831,-2564.47,6.32923401527333,-0.207040085861344,57.5581876928599,0.536439308716602,0.838579044939646,0.0949634321819014,-0.843931164558393,0.533509294966785,0.0561072336794359,-0.0036135233178853,-0.110240725560731,0.993898347356044,755.761139788692,-1135.59886170307,-2574.15,45229.95114,43.58,0.87,755.76,-1135.60,4.61,95.67,5.30,-0.13,9.68
HNM_0133_0678747654_293ECM_N0090001HELI01865_0000LUJ01,77.4498575646623,18.4358364330946,-2564.49,4.56178152680633,1.71484642673513,57.4639300717036,0.537589576628468,0.841662441080929,0.051007669757755,-0.842675457473749,0.534120155188489,0.0679244668203755,0.0299252480663426,-0.079498396808466,0.996385710672856,753.32399207518,-1139.56176248166,-2574.32,45230.82465,44.45,0.87,753.32,-1139.56,4.65,100.32,5.33,-0.03,9.83
HNM_0133_0678747655_187ECM_N0090001HELI01892_0000LUJ01,77.4498148186364,18.4357706419294,-2564.49,4.99859718650428,2.26392843751757,57.156459183122,0.541923504208977,0.83882616796245,0.0518611176826607,-0.839498928147595,0.53739243971481,0.0803175907034304,0.0395027242719134,-0.0870633429107552,0.995419262972292,750.920558327515,-1143.46169130155,-2574.46,45231.69456,45.32,0.87,750.92,-1143.46,4.58,104.91,5.27,0.00,9.97
HNM_0133_0678747656_086ECM_N0090001HELI01919_0000LUJ01,77.449772911479,18.435706316586,-2564.64,5.37116408309319,1.00696467721011,57.8100876316927,0.532645013986364,0.84344745922478,0.0698975865300809,-0.846156277265432,0.528996003614446,0.0646744354768638,0.0175739443430498,-0.0935927971972657,0.995455445910574,748.564288164172,-1147.27472994032,-2574.53,45232.56935,46.20,0.87,748.56,-1147.27,4.48,109.39,5.12,-0.16,9.89
HNM_0133_0678747656_979ECM_N0090001HELI01946_0000LUJ01,77.4497316386157,18.4356439377804,-2564.69,0.865864553363158,6.81703237311049,58.2079495742669,0.523113267484439,0.850813750702222,-0.0496837095814201,-0.843956765986335,0.525253099259548,0.108840060934046,0.118699142910307,-0.015004777047875,0.992816886509341,746.24367584415,-1150.97238498778,-2574.46,45233.43893,47.07,0.87,746.24,-1150.97,4.37,113.75,5.02,-0.06,9.77
